This job can be monitored from: https://job.c3se.chalmers.se/alvis/6316711
============================================================
Run started: 2026-04-03 16:57:43
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Computing global DVF mean/std over training set...
DVF global mean=-3.190084, std=10.835453
No checkpoint found — starting from scratch
Epoch 089/1000 | λ=1.00e-04 | LR=9.81e-05 | Train [Total=0.01662 MSE=0.01633 Smooth=0.00030] | Val   [Total=0.00982 MSE=0.00853 Smooth=0.00129] *** BEST ***
Epoch 090/1000 | λ=1.00e-04 | LR=9.80e-05 | Train [Total=0.02083 MSE=0.02059 Smooth=0.00024] | Val   [Total=0.01160 MSE=0.01061 Smooth=0.00099]
Epoch 091/1000 | λ=1.00e-04 | LR=9.80e-05 | Train [Total=0.02000 MSE=0.01976 Smooth=0.00024] | Val   [Total=0.01336 MSE=0.01235 Smooth=0.00101]
Epoch 092/1000 | λ=1.00e-04 | LR=9.79e-05 | Train [Total=0.02162 MSE=0.02133 Smooth=0.00028] | Val   [Total=0.01122 MSE=0.00934 Smooth=0.00187]
Epoch 093/1000 | λ=1.00e-04 | LR=9.79e-05 | Train [Total=0.01887 MSE=0.01859 Smooth=0.00028] | Val   [Total=0.01038 MSE=0.00936 Smooth=0.00101]
Epoch 094/1000 | λ=1.00e-04 | LR=9.79e-05 | Train [Total=0.01834 MSE=0.01807 Smooth=0.00027] | Val   [Total=0.00945 MSE=0.00855 Smooth=0.00090] *** BEST ***
Epoch 095/1000 | λ=1.00e-04 | LR=9.78e-05 | Train [Total=0.01509 MSE=0.01483 Smooth=0.00025] | Val   [Total=0.00724 MSE=0.00623 Smooth=0.00102] *** BEST ***
Epoch 096/1000 | λ=1.00e-04 | LR=9.78e-05 | Train [Total=0.01648 MSE=0.01624 Smooth=0.00024] | Val   [Total=0.01264 MSE=0.01170 Smooth=0.00093]
Epoch 097/1000 | λ=1.00e-04 | LR=9.77e-05 | Train [Total=0.02483 MSE=0.02453 Smooth=0.00029] | Val   [Total=0.01019 MSE=0.00923 Smooth=0.00096]
Epoch 098/1000 | λ=1.00e-04 | LR=9.77e-05 | Train [Total=0.01920 MSE=0.01890 Smooth=0.00030] | Val   [Total=0.01102 MSE=0.01007 Smooth=0.00095]
Epoch 099/1000 | λ=1.00e-04 | LR=9.76e-05 | Train [Total=0.02048 MSE=0.02025 Smooth=0.00024] | Val   [Total=0.01809 MSE=0.01693 Smooth=0.00117]
Epoch 100/1000 | λ=1.00e-04 | LR=9.76e-05 | Train [Total=0.01782 MSE=0.01760 Smooth=0.00022] | Val   [Total=0.00646 MSE=0.00558 Smooth=0.00087] *** BEST ***
Epoch 101/1000 | λ=1.00e-04 | LR=9.75e-05 | Train [Total=0.01734 MSE=0.01710 Smooth=0.00024] | Val   [Total=0.00870 MSE=0.00788 Smooth=0.00082]
