This job can be monitored from: https://job.c3se.chalmers.se/alvis/6337436
============================================================
CFG Fine-tuning — started 2026-04-05 18:36:21
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/training_cfg.log
Pretrained model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:        /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg
CFG drop prob: 0.15  |  Fine-tune epochs: 200  |  LR: 5e-05
============================================================
Device: cuda
Train=425, Val=75
Loaded DVF stats: mean=-3.174312, std=10.820530
Loaded pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting CFG fine-tuning from scratch...
Epoch 063/200 | λ=1.00e-04 | LR=3.90e-05 | Train [Total=0.01115 MSE=0.01090 Smooth=0.00025] | Val   [Total=0.00647 MSE=0.00548 Smooth=0.00099]
Epoch 064/200 | λ=1.00e-04 | LR=3.86e-05 | Train [Total=0.01274 MSE=0.01247 Smooth=0.00027] | Val   [Total=0.00685 MSE=0.00585 Smooth=0.00100]
Epoch 065/200 | λ=1.00e-04 | LR=3.83e-05 | Train [Total=0.01569 MSE=0.01540 Smooth=0.00029] | Val   [Total=0.00632 MSE=0.00532 Smooth=0.00100]
Epoch 066/200 | λ=1.00e-04 | LR=3.80e-05 | Train [Total=0.01022 MSE=0.00996 Smooth=0.00026] | Val   [Total=0.00684 MSE=0.00584 Smooth=0.00100]
Epoch 067/200 | λ=1.00e-04 | LR=3.76e-05 | Train [Total=0.00863 MSE=0.00831 Smooth=0.00032] | Val   [Total=0.00929 MSE=0.00827 Smooth=0.00102]
Epoch 068/200 | λ=1.00e-04 | LR=3.73e-05 | Train [Total=0.01664 MSE=0.01644 Smooth=0.00020] | Val   [Total=0.00780 MSE=0.00681 Smooth=0.00099]
Epoch 069/200 | λ=1.00e-04 | LR=3.70e-05 | Train [Total=0.01383 MSE=0.01352 Smooth=0.00031] | Val   [Total=0.00661 MSE=0.00561 Smooth=0.00100]
Epoch 070/200 | λ=1.00e-04 | LR=3.66e-05 | Train [Total=0.01920 MSE=0.01893 Smooth=0.00027] | Val   [Total=0.00721 MSE=0.00622 Smooth=0.00099]
Epoch 071/200 | λ=1.00e-04 | LR=3.63e-05 | Train [Total=0.00841 MSE=0.00818 Smooth=0.00022] | Val   [Total=0.00667 MSE=0.00567 Smooth=0.00100]
Epoch 072/200 | λ=1.00e-04 | LR=3.59e-05 | Train [Total=0.01177 MSE=0.01151 Smooth=0.00026] | Val   [Total=0.00775 MSE=0.00674 Smooth=0.00101]
Epoch 073/200 | λ=1.00e-04 | LR=3.56e-05 | Train [Total=0.01117 MSE=0.01095 Smooth=0.00022] | Val   [Total=0.00633 MSE=0.00533 Smooth=0.00100]
Epoch 074/200 | λ=1.00e-04 | LR=3.52e-05 | Train [Total=0.01009 MSE=0.00983 Smooth=0.00025] | Val   [Total=0.00648 MSE=0.00548 Smooth=0.00100]
Epoch 075/200 | λ=1.00e-04 | LR=3.49e-05 | Train [Total=0.01535 MSE=0.01509 Smooth=0.00026] | Val   [Total=0.00635 MSE=0.00536 Smooth=0.00099]
Epoch 076/200 | λ=1.00e-04 | LR=3.45e-05 | Train [Total=0.01098 MSE=0.01078 Smooth=0.00020] | Val   [Total=0.00632 MSE=0.00533 Smooth=0.00099]
Epoch 077/200 | λ=1.00e-04 | LR=3.42e-05 | Train [Total=0.00832 MSE=0.00804 Smooth=0.00028] | Val   [Total=0.00672 MSE=0.00573 Smooth=0.00099]
Epoch 078/200 | λ=1.00e-04 | LR=3.38e-05 | Train [Total=0.01379 MSE=0.01355 Smooth=0.00024] | Val   [Total=0.00598 MSE=0.00500 Smooth=0.00098]
Epoch 079/200 | λ=1.00e-04 | LR=3.34e-05 | Train [Total=0.01181 MSE=0.01148 Smooth=0.00033] | Val   [Total=0.00608 MSE=0.00510 Smooth=0.00098]
Epoch 080/200 | λ=1.00e-04 | LR=3.31e-05 | Train [Total=0.01115 MSE=0.01092 Smooth=0.00023] | Val   [Total=0.00673 MSE=0.00572 Smooth=0.00101]
Epoch 081/200 | λ=1.00e-04 | LR=3.27e-05 | Train [Total=0.01160 MSE=0.01134 Smooth=0.00026] | Val   [Total=0.00688 MSE=0.00590 Smooth=0.00098]
Epoch 082/200 | λ=1.00e-04 | LR=3.23e-05 | Train [Total=0.00886 MSE=0.00862 Smooth=0.00024] | Val   [Total=0.00628 MSE=0.00529 Smooth=0.00098]
Epoch 083/200 | λ=1.00e-04 | LR=3.20e-05 | Train [Total=0.01038 MSE=0.01016 Smooth=0.00022] | Val   [Total=0.00638 MSE=0.00541 Smooth=0.00097]
